"Type","Name","Id","Path"
"UMLPackage","old","AAAAAAGAqZP5MjGE6ag=","/taller_analisis"
"UMLPackage","Diagrama_Secuencia","AAAAAAFsklhiJ5sLhGQ=","/taller_analisis/old"
"UMLCollaboration","secuencia_movimientos_compras","AAAAAAFsklhiJ5sMzFU=","/taller_analisis/old/Diagrama_Secuencia"
"UMLInteraction","agregaNotaPedido","AAAAAAFsklhiJ5sNzTM=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras"
"UMLSequenceDiagram","agregaNotaPedido","AAAAAAFsklhiJ5sO1os=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras/agregaNotaPedido"
"UMLInteraction","modificaNotaPedido","AAAAAAFsklhiOZzzyHg=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras"
"UMLSequenceDiagram","modificaNotaPedido","AAAAAAFsklhiOZz0AJk=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras/modificaNotaPedido"
"UMLInteraction","anulaNotaPedido","AAAAAAFsklhiSJ7BP2s=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras"
"UMLSequenceDiagram","anulaNotaPedido","AAAAAAFsklhiSJ7CIgc=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras/anulaNotaPedido"
"UMLInteraction","agregaNotaPresupuesto","AAAAAAFsklhiUZ+9NDU=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras"
"UMLSequenceDiagram","agregaNotaPresupuesto","AAAAAAFsklhiUZ++8KM=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras/agregaNotaPresupuesto"
"UMLInteraction","anulaNotaPresupuesto","AAAAAAFsklhiZqHrCXA=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras"
"UMLSequenceDiagram","anulaNotaPresupuesto","AAAAAAFsklhiZqHs8sw=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras/anulaNotaPresupuesto"
"UMLInteraction","agregaOrdenCompra","AAAAAAFsklhicaMB98c=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras"
"UMLSequenceDiagram","agregaOrdenCompra","AAAAAAFsklhicqMCWkY=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras/agregaOrdenCompra"
"UMLInteraction","anulaOrdenCompra","AAAAAAFsklhig6TlA90=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras"
"UMLSequenceDiagram","anulaOrdenCompra","AAAAAAFsklhihKTmddY=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras/anulaOrdenCompra"
"UMLInteraction","agregaFactura","AAAAAAFsklhilKX7+L8=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras"
"UMLSequenceDiagram","agregaFactura","AAAAAAFsklhilKX85BY=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras/agregaFactura"
"UMLInteraction","anulaFactura","AAAAAAFsklhin6dRKW4=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras"
"UMLSequenceDiagram","anulaFactura","AAAAAAFsklhin6dSCT0=","/taller_analisis/old/Diagrama_Secuencia/secuencia_movimientos_compras/anulaFactura"
